City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Wewak,PG,82.18,broken clouds,-3.5534,143.6268,In Wewak Boutique Hotel
3,Vaini,TO,81.32,overcast clouds,-21.2,-175.2,Keleti Beach Resort
4,Saint George,US,85.42,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
7,Avarua,CK,82.45,overcast clouds,-21.2078,-159.775,Paradise Inn
11,Kapaa,US,78.78,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
14,Mayumba,GA,77.59,overcast clouds,-3.432,10.6554,LIKWALE LODGE
19,Namatanai,PG,84.58,light rain,-3.6667,152.4333,Seagulls Inn Namatani
20,Rikitea,PF,78.42,clear sky,-23.1203,-134.9692,People ThankYou
22,Catia La Mar,VE,82.6,broken clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
29,Hilo,US,78.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
35,Iralaya,HN,81.32,clear sky,15.0,-83.2333,Iglesia morava renovada
40,Luba,GQ,82.54,light rain,3.4568,8.5547,
42,Georgetown,MY,82.33,scattered clouds,5.4112,100.3354,Cititel Penang
45,Lahad Datu,MY,76.05,broken clouds,5.0268,118.327,The 27th House
56,Sur,OM,85.17,clear sky,22.5667,59.5289,Sur Plaza Hotel
57,Roebourne,AU,81.93,few clouds,-20.7833,117.1333,Latitude20 Roebourne Village
58,Tumbagaan,PH,81.12,broken clouds,5.3656,120.3139,
60,Bengkulu,ID,76.08,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
61,Payyannur,IN,79.14,clear sky,12.1,75.2,Kavvayi Beach House
63,Souillac,MU,77.31,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
66,Puerto Ayora,EC,75.99,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
71,Lakshettipet,IN,83.68,scattered clouds,18.8667,79.2167,Nagula's Residency
74,Murshidabad,IN,79.92,clear sky,24.1833,88.2667,Hotel Raymond
75,Hithadhoo,MV,82.53,broken clouds,-0.6,73.0833,Scoop Guest House
77,Meulaboh,ID,77.25,overcast clouds,4.1363,96.1285,Kost Pria
83,Kutum,SD,77.22,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
84,Tautira,PF,81.3,few clouds,-17.7333,-149.15,Pension Oaoa
87,Cabedelo,BR,80.53,broken clouds,-6.9811,-34.8339,Hotel Pigalle
91,Grand Gaube,MU,75.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
92,Salinopolis,BR,78.15,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
98,Isangel,VU,82.06,overcast clouds,-19.55,169.2667,Tanna Lodge
100,Cockburn Town,TC,77.77,few clouds,21.4612,-71.1419,Osprey Beach Hotel
101,Saint-Georges,GD,79.03,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
102,Buala,SB,83.34,light rain,-8.145,159.5921,Maringe Lagoon Lodge
104,Taoudenni,ML,77.9,clear sky,22.6783,-3.9836,
107,Weligama,LK,79.39,overcast clouds,5.9667,80.4167,Weligama Bay Resort
117,Nabire,ID,78.71,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
118,Alofi,NU,81.46,overcast clouds,-19.0595,-169.9187,Taloa Heights
119,Gamba,GA,77.52,overcast clouds,-2.65,10.0,
123,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
129,Santa Marta,CO,84.88,overcast clouds,11.2408,-74.199,Hotel La Ballena Azul
131,Atuona,PF,79.74,clear sky,-9.8,-139.0333,Villa Enata
135,Miguel Auza,MX,86.43,broken clouds,24.2933,-103.4503,Hotel Del Centro
136,Moerai,PF,79.29,clear sky,-22.4333,-151.3333,Le Manotel
143,Butaritari,KI,81.77,few clouds,3.0707,172.7902,Isles Sunset Lodge
147,Olinda,BR,79.59,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
149,Dangriga,BZ,81.72,scattered clouds,16.9692,-88.2321,Chaleanor Hotel
150,Jalalabad,AF,76.53,overcast clouds,34.4265,70.4515,انصاف چهاردهي هوټل
156,Potiskum,NG,85.01,overcast clouds,11.7091,11.0694,Tamir Hotel Ltd
158,Bambous Virieux,MU,75.22,light rain,-20.3428,57.7575,Casa Tia Villa
161,Romblon,PH,80.91,broken clouds,12.5751,122.2708,Tiamban Aqua Club Beach Resort
163,Labuhan,ID,79.65,scattered clouds,-6.8844,112.2051,DoubleFAG
167,San Patricio,US,87.19,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
168,Thatta,PK,78.26,few clouds,24.7475,67.9235,We Care Guest House & Shadi lawn
169,Faanui,PF,81.03,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
170,Puerto Escondido,MX,86.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
173,Yuli,NG,84.13,light rain,9.6989,10.2744,
174,Adrar,MR,78.73,scattered clouds,20.5022,-10.0711,
176,Pagudpud,PH,78.22,overcast clouds,18.5616,120.7868,Saud Beach Resort and Hotel - 2
177,Biak,ID,77.7,broken clouds,-0.9131,122.8766,Penginapan Kim
191,Boa Vista,BR,84.54,overcast clouds,2.8197,-60.6733,Aipana Plaza Hotel
193,Porto Novo,BJ,77.74,moderate rain,6.4965,2.6036,Tour Eiffel Hotel Benin
198,Hadejia,NG,84.78,overcast clouds,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
201,Cayenne,GF,81.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
203,Acarau,BR,78.49,broken clouds,-2.8856,-40.12,castelo pizzaria
210,Kailua,US,80.58,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
216,Sabang,ID,82.56,overcast clouds,5.8933,95.3214,Hotel Citra
221,Orange Cove,US,79.68,clear sky,36.6244,-119.3137,
224,Trinidad,BO,75.18,scattered clouds,-14.8333,-64.9,Hotel Piesta
234,Hatillo,PR,81.1,overcast clouds,18.4863,-66.8254,El Buen Hotel
241,Kattivakkam,IN,86.09,few clouds,13.2167,80.3167,Euronova Freezer
242,Johi,PK,86.61,broken clouds,26.6921,67.6133,Haji Fareed/ Abdul Qyoum Rodnani OTAQUE
243,Dori,BF,82.78,broken clouds,14.0354,-0.0345,Hôtel Liptako
246,Angoche,MZ,79.11,broken clouds,-16.2325,39.9086,Guest House HESADA
254,Kavieng,PG,85.24,broken clouds,-2.5744,150.7967,Nusa Island Retreat
258,Waingapu,ID,80.17,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
259,Orange,US,87.22,few clouds,33.7,-117.7675,Meadows
263,Bontang,ID,78.93,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
264,Yaring,TH,79.63,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
269,Limbang,MY,78.91,scattered clouds,4.75,115.0,Purnama Hotel
271,Mahebourg,MU,75.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
272,Eyl,SO,82.04,scattered clouds,7.9803,49.8164,Amiin Hotel
275,Ewa Beach,US,80.55,light intensity drizzle,21.3156,-158.0072,Base Lodging
278,Hienghene,NC,76.3,overcast clouds,-20.6833,164.9333,Ka Waboana Lodge
285,San Andres,CO,80.26,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
290,Atar,MR,86.0,overcast clouds,20.5169,-13.0499,Oumou Elghoura
292,San Pedro,PH,81.63,broken clouds,14.35,121.0167,Esquivel's Garden And Resort
294,Nikki,BJ,84.49,overcast clouds,9.9401,3.2108,Monnon
296,Bairiki,KI,84.2,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
298,Denpasar,ID,82.06,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
300,Lompoc,US,75.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
303,Salalah,OM,82.49,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
304,Takoradi,GH,79.25,overcast clouds,4.8845,-1.7554,Raybow International Hotel
305,Laguna,US,75.11,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
309,Carauari,BR,75.38,overcast clouds,-4.8828,-66.8958,Hotel Fellip
312,Touros,BR,79.88,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
313,Male,MV,83.77,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
314,Cap Malheureux,MU,75.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
315,Saquena,PE,75.85,light rain,-4.6667,-73.5167,
319,Lorengau,PG,82.76,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
320,Micheweni,TZ,79.72,light rain,-4.9667,39.8333,
322,Pangai,TO,82.44,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
326,Ouidah,BJ,82.15,light rain,6.3631,2.0851,Djegba Hotel
328,Yaan,NG,80.35,light rain,7.3833,8.5667,
329,Ambon,ID,82.0,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
336,Makakilo City,US,79.12,light intensity drizzle,21.3469,-158.0858,Marriott's Ko Olina Beach Club
338,Dzaoudzi,YT,78.69,clear sky,-12.7887,45.2699,Le Rocher
340,Les Cayes,HT,77.49,overcast clouds,18.2,-73.75,Villa Orphee
341,Puri,IN,79.32,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
342,Itacarambi,BR,75.54,overcast clouds,-15.1022,-44.0919,POUSADA CAMALEÃO
348,Kulhudhuffushi,MV,83.61,overcast clouds,6.6221,73.07,Haajy Guest House 1
351,Key West,US,84.2,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
354,Huai Thalaeng,TH,77.25,overcast clouds,14.997,102.6475,รีสอร์ทฟิวแอนทิว
356,Umm Lajj,SA,83.84,overcast clouds,25.0213,37.2685,Moon light Furnished Units
358,Sindou,BF,84.06,overcast clouds,10.6667,-5.1667,LERABA HOTEL
364,Bandarbeyla,SO,81.01,broken clouds,9.4942,50.8122,JABIR HOTEL
378,Padang,ID,75.25,heavy intensity rain,-0.9492,100.3543,Mercure Padang
381,Lucea,JM,76.86,clear sky,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
386,Tecoanapa,MX,85.44,scattered clouds,16.5167,-98.75,Hotel Manglares
390,Pemba,MZ,77.45,clear sky,-12.974,40.5178,Guesthouse Samotina
391,Aguimes,ES,75.83,broken clouds,27.9054,-15.4461,Hotel Villa de Aguimes
401,Axim,GH,79.54,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
403,Port-Gentil,GA,80.56,broken clouds,-0.7193,8.7815,Fengshui Residence
405,Kavaratti,IN,82.74,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
406,Sojitra,IN,76.96,clear sky,22.55,72.7167,Gayatri Villa
410,Bara,NG,85.5,overcast clouds,10.3744,10.7288,
420,Prainha,BR,76.14,moderate rain,-1.8,-53.48,Casa Rocha
423,Dwarka,IN,79.32,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
427,Ontario,US,86.0,scattered clouds,34.0633,-117.6509,Capri Motel
431,Honiara,SB,85.12,overcast clouds,-9.4333,159.95,Heritage Park Hotel
434,Kerema,PG,82.72,broken clouds,-7.9631,145.7785,Frena Lodge
436,Asyut,EG,86.14,broken clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
437,Tual,ID,84.54,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
440,Isla Vista,US,79.3,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
443,Kankon,IN,79.52,few clouds,15.0167,74.0167,Palolem Beach Resort
444,Miram Shah,PK,75.09,broken clouds,33.0086,70.0697,Bachelor Hostel
446,Nahariyya,IL,78.21,broken clouds,33.0059,35.0941,Shtarkman Erna Hotel
447,Veraval,IN,79.09,clear sky,20.9,70.3667,Lords Inn Somnath
454,Jilib,SO,79.95,overcast clouds,0.4883,42.7854,Waadi Hotel
455,Caravelas,BR,77.79,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
457,Calabar,NG,78.78,overcast clouds,4.9517,8.322,NAKS Hotels (Formerly NAF Club)
463,Cam Ranh,VN,76.96,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
466,Pochutla,MX,87.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
470,Santa Isabel Do Rio Negro,BR,76.75,broken clouds,-0.4139,-65.0192,Hotel GSA
471,Miri,MY,76.98,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
472,Kununurra,AU,76.98,scattered clouds,-15.7667,128.7333,Hotel Kununurra
473,Cuajinicuilapa,MX,89.71,scattered clouds,16.4667,-98.4167,Pozo S. XVI
478,Lamont,US,77.47,clear sky,35.2597,-118.9143,Buena Vista Mobile Home Park
479,Panguna,PG,77.83,light rain,-6.3164,155.4848,
483,Sinnamary,GF,77.54,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
488,Morant Bay,JM,79.72,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
492,Quelimane,MZ,76.1,overcast clouds,-17.8786,36.8883,Hotel Flamingo
495,Trairi,BR,76.44,overcast clouds,-3.2778,-39.2689,janelas do mar
498,Limon,CR,82.29,clear sky,10.0,-83.0333,Hotel Playa Bonita
500,Ibra,OM,77.56,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
501,Pedasi,PA,81.41,overcast clouds,7.5333,-80.0333,Selina Pedasi
502,Sola,VU,82.06,broken clouds,-13.8833,167.55,Leumerus Bungalows
503,Thinadhoo,MV,83.01,overcast clouds,0.5333,72.9333,
506,Muisne,EC,76.37,broken clouds,0.6,-80.0333,Quinta Samay
509,Kidal,ML,77.9,overcast clouds,18.4411,1.4078,
511,Vao,NC,76.91,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
512,Bubaque,GW,75.2,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
515,Chiautla,MX,87.57,broken clouds,19.5333,-98.8833,Xcoco Inn
517,Ajaigarh,IN,85.5,clear sky,24.9,80.2667,Shakuntalam Garden & Homestay
518,Teknaf,BD,78.28,broken clouds,20.8624,92.3058,Forestry Guesthouse
519,Kuliyapitiya,LK,76.05,scattered clouds,7.4688,80.0401,Rest House
525,Kibala,TD,87.75,clear sky,9.1104,18.3463,hotel safari
530,Korhogo,CI,79.03,overcast clouds,9.45,-5.6333,Hôtel Tchinbota
534,Diapaga,BF,89.87,broken clouds,12.0708,1.7889,
536,Natal,BR,79.39,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
537,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
550,Kieta,PG,82.47,light rain,-6.2167,155.6333,Uruna Bay Retreat
552,Hays,US,87.94,broken clouds,30.0502,-98.0336,Sinya on Lone Man Creek
556,Garowe,SO,79.52,broken clouds,8.4054,48.4845,Curubo Hotel
557,Umm Kaddadah,SD,84.99,few clouds,13.6017,26.6876,
558,Ocos,GT,87.98,scattered clouds,14.5094,-92.1933,Auto Hotel El Soñador
574,Tumarbong,PH,81.28,overcast clouds,10.3766,119.4579,
575,Saint-Louis,SN,77.83,clear sky,16.3333,-15.0,
576,Dalbandin,PK,76.75,scattered clouds,28.8947,64.4101,Sanjrani House
578,Arizona,US,75.16,clear sky,34.5003,-111.501,
580,Miraflores,MX,86.65,scattered clouds,19.2167,-98.8083,Hotel Mansión
586,Tucurui,BR,75.85,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
587,Birao,CF,85.71,broken clouds,10.2849,22.7882,
588,Bonthe,SL,78.98,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
594,Maceio,BR,80.04,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
595,Oeiras,BR,75.22,overcast clouds,-7.0253,-42.1311,Hotel SESC Oeiras
597,Fomboni,KM,82.47,clear sky,-12.28,43.7425,Auberge les abou
599,Wanning,CN,76.06,broken clouds,18.8003,110.3967,Paradise Hotel
604,Tevaitoa,PF,80.85,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
606,Ruwi,OM,85.69,clear sky,23.5996,58.5507,Al Falaj Hotel
607,Upata,VE,77.88,broken clouds,8.0086,-62.3989,Posada Villa Nela
608,Porto Velho,BR,77.05,light rain,-8.7619,-63.9039,Ecos Hotel Conforto
610,Wahiawa,US,77.32,overcast clouds,21.5028,-158.0236,The Inn At Schofield
611,Kalang,PH,80.89,overcast clouds,5.9197,121.3631,
612,Itarema,BR,77.92,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
617,Turan,VN,75.18,few clouds,16.0678,108.2208,Grand Mercure Danang
618,Merced,US,77.29,clear sky,37.1666,-120.7516,
621,West Bay,KY,83.07,scattered clouds,19.3667,-81.4167,Calypso Cove
622,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
623,Kilindoni,TZ,81.32,light rain,-7.9139,39.6668,Bustani B&B
625,Kimbe,PG,82.87,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
627,Morondava,MG,81.12,clear sky,-20.2833,44.2833,La Case Bambou
629,Bambanglipuro,ID,76.86,overcast clouds,-7.95,110.2833,Puri Brata
630,Karratha,AU,81.79,few clouds,-20.7377,116.8463,ibis Styles Karratha
633,Pangkalanbuun,ID,75.13,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
635,Puerto Madero,MX,88.0,clear sky,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
637,Samarai,PG,82.22,light rain,-10.6167,150.6667,Nuli Sapi
641,La Asuncion,VE,78.08,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
652,Abilene,US,86.77,clear sky,32.4487,-99.7331,La Quinta Inn by Wyndham Abilene
655,Pahrump,US,83.52,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
656,Bilma,NE,81.5,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
657,Dingle,PH,77.92,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
658,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
660,Srivardhan,IN,78.66,clear sky,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
663,Howard Springs,AU,84.81,scattered clouds,-12.497,131.047,buffalo beach hostel
665,Aswan,EG,85.32,clear sky,24.0934,32.907,Nuba Nile
667,Allapalli,IN,80.49,few clouds,19.4167,80.0667,"Hotel IK Residency, GUEST HOUSE AC NON AC"
673,Hue,VN,75.31,mist,16.4667,107.6,Saigon Morin Hotel
674,Murud,IN,78.64,clear sky,18.3258,72.965,On Point Plaza
677,Bandrele,YT,78.55,clear sky,-12.9067,45.1914,Les Baobabs
683,Khamaria,IN,84.76,clear sky,23.2167,79.8833,Hotel Vasu
688,Bettiah,IN,78.75,light rain,26.8,84.5,Bhola Clarks Inn
698,Coahuayana,MX,84.15,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
707,Road Town,VG,78.89,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
